year,trait,spacing,r,p
2022,Alpha Acid,0.46,0.42,0.43
2022,Alpha Acid,0.61,0.3,0.68
2022,Alpha Acid,1.52,0.68,0.11
2022,Alpha Acid,2.13,0.96,0.003
2022,Beta Acid,0.46,1,0
2022,Beta Acid,0.61,0.9,0.08
2022,Beta Acid,1.52,0.93,0.01
2022,Beta Acid,2.13,0.86,0.02
2022,Cone Area,0.46,0.94,0.02
2022,Cone Area,0.61,0.93,0.01
2022,Cone Area,1.52,1,0
2022,Cone Area,2.13,0.96,0
2022,Cone Density,0.46,0.77,0.1028
2022,Cone Density,0.61,0.61,0.17
2022,Cone Density,1.52,0.92,0.007
2022,Cone Density,2.13,0.79,0.048
2022,Cone Openness ,0.46,0.83,0.06
2022,Cone Openness ,0.61,0.86,0.02
2022,Cone Openness ,1.52,0.89,0.01
2022,Cone Openness ,2.13,0.82,0.03
2022,Dry Cone Yield,0.46,0.25,0.59
2022,Dry Cone Yield,0.61,0.54,0.27
2022,Dry Cone Yield,1.52,0.96,0
2022,Dry Cone Yield,2.13,1,0
2022,Harvest Index,0.46,0.11,0.84
2022,Harvest Index,0.61,0.43,0.35
2022,Harvest Index,1.52,0.93,0.01
2022,Harvest Index,2.13,0.64,0.14
2022,Lateral Length,0.46,0.77,0.0407
2022,Lateral Length,0.61,0.68,0.09
2022,Lateral Length,1.52,0.75,0.05
2022,Lateral Length,2.13,0.71,0.07
2022,Vigor,0.46,0.64,0.14
2022,Vigor,0.61,-0.0357,0.96
2022,Vigor,1.52,0.86,0.02
2022,Vigor,2.13,1,0
2023,Alpha Acid,0.46,0.89,0.01
2023,Alpha Acid,0.61,0.86,0.02
2023,Alpha Acid,1.52,0.93,0.0067
2023,Alpha Acid,2.13,1,0
2023,Beta Acid,0.46,0.07,0.9
2023,Beta Acid,0.61,0.25,0.59
2023,Beta Acid,1.52,0.96,0
2023,Beta Acid,2.13,1,0
2023,Cone Area,0.46,0.92,0.01
2023,Cone Area,0.61,0.71,0.09
2023,Cone Area,1.52,0.75,0.01
2023,Cone Area,2.13,0.71,0.09
2023,Cone Density,0.46,0.75,0.066
2023,Cone Density,0.61,0.57,0.2
2023,Cone Density,1.52,0.92,0.0067
2023,Cone Density,2.13,1,0
2023,Cone Openness ,0.46,0.71,0.09
2023,Cone Openness ,0.61,0.71,0.09
2023,Cone Openness ,1.52,0.86,0.02
2023,Cone Openness ,2.13,0.86,0.02
2023,Dry Cone Yield,0.46,0.18,0.71
2023,Dry Cone Yield,0.61,0.39,0.4
2023,Dry Cone Yield,1.52,0.11,0.84
2023,Dry Cone Yield,2.13,0.64,0.14
2023,Harvest Index,0.46,0.86,0.02
2023,Harvest Index,0.61,0.21,0.66
2023,Harvest Index,1.52,0.57,0.2
2023,Harvest Index,2.13,0.93,0.01
2023,Lateral Length,0.46,0.72,0.07
2023,Lateral Length,0.61,0.857,0.023
2023,Lateral Length,1.52,0.5,0.25
2023,Lateral Length,2.13,0.32,0.048
2023,Vigor,0.46,NA,NA
2023,Vigor,0.61,NA,NA
2023,Vigor,1.52,0.83,0.02
2023,Vigor,2.13,0.29,0.56